upm,nvivi,nhoga,year,fex,facpob,area,dptorep,ipcm,linea_pobreza_total,linea_pobreza_extrema,vivi_vivienda,vivi_piezas,vivi_dormitorios,vivi_pared,vivi_piso,vivi_techo,vivi_agua_proveedor,vivi_agua_fuente,vivi_agua_proveedor_beber,vivi_agua_fuente_beber,vivi_luz_electrica,vivi_linea_fija,vivi_celular,vivi_banho,vivi_banho_desague,vivi_pieza_cocinar,vivi_combustible,vivi_basura,vivi_vivienda_propiedad,vivi_lote_propiedad,vivi_computadora,vivi_tableta,vivi_internet,vivi_radio,vivi_televisor,vivi_heladera,vivi_cocina_gas,vivi_cocina_elec,vivi_lavarropas,vivi_videoDVD,vivi_termocalefon,vivi_acondicionador_aire,vivi_antena_parabolica,vivi_tv_cable,vivi_horno_microondas,vivi_horno_electrico,vivi_auto_camion,vivi_motocicleta,hh_conyuge_present,hh_tipo_hogar,hh_personal_domestico,hh_miembros_5ymenos,hh_miembros_6a14,hh_miembros_15a64,hh_miembros_65ymas,hh_dependents,hh_youth_dependents,hh_old_dependents,hh_females,hh_males,hh_tekopora,hh_totpers,jefe_female,jefe_edad,jefe_idioma,jefe_aniosestudio,jefe_estado_civil,jefe_seguro_medico,jefe_sabe_leer_escribir,jefe_tipo_empleo,jefe_tiene_trabajo,jefe_quiere_trabajo,jefe_caja_jubilacion1
2420,1,1,2018,452,2712,6,20,1574540.8389694055,488172,239969,1,4,2,4,4,1,3,2,3,2,1,6,1,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,6,1,6,1,1,1,1,4,0,0,2,4,0,2,2,0,3,3,0,6,0,56,2,12,1,7,1,4,1,0,6
2420,21,1,2018,393,1572,6,20,1996943.8003220623,488172,239969,1,2,2,4,4,4,6,2,6,2,1,6,1,1,2,6,1,1,1,1,6,6,6,1,1,1,1,6,1,1,6,6,6,6,6,1,1,1,1,4,0,0,1,3,0,1,1,0,2,2,0,4,0,52,1,9,2,6,1,1,1,0,1
2420,22,1,2018,325,1625,6,20,4138574.048309181,488172,239969,1,5,4,4,5,1,3,2,3,2,1,6,1,1,2,1,1,1,1,1,1,6,1,6,1,1,6,1,1,6,6,1,6,6,6,1,6,1,1,4,0,0,0,3,2,2,0,2,3,2,0,5,0,92,2,9,1,1,6,99,0,0,0
2420,23,1,2018,370,1480,6,20,846448.7439613532,488172,239969,1,1,1,4,4,4,3,2,3,2,1,6,1,1,3,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,6,6,1,6,1,0,4,0,1,1,1,1,3,2,1,3,1,1,4,0,76,1,6,4,1,1,4,1,0,6
2420,24,1,2018,243,486,6,20,1888401.73004052,488172,239969,1,4,2,4,4,1,2,2,2,2,1,6,1,1,2,1,1,4,6,NA,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,2,0,0,0,0,2,2,0,2,1,1,0,2,0,71,1,6,1,1,6,3,1,0,6
2420,25,1,2018,365,2190,6,20,1221272.5528717132,488172,239969,1,4,3,4,4,1,2,2,2,2,1,6,1,1,2,1,1,1,1,1,6,6,6,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,4,0,0,1,3,2,3,1,2,2,4,0,6,0,73,1,3,2,1,1,4,1,0,6
2420,26,1,2018,482,2892,6,20,628392.146311439,488172,239969,1,3,3,3,1,4,3,1,3,1,1,6,1,1,7,1,1,1,1,3,6,6,6,1,1,6,6,6,1,6,6,6,6,6,6,6,6,1,0,4,0,1,1,4,0,2,2,0,2,4,1,6,0,62,1,8,4,7,1,2,1,0,6
2420,29,1,2018,427,2989,6,20,756278.8129744658,488172,239969,1,3,3,3,4,4,3,2,3,2,1,6,1,1,3,1,1,1,1,3,6,6,6,1,1,1,6,6,6,6,6,6,6,6,6,6,1,6,0,4,0,2,0,4,1,3,2,1,4,3,1,7,1,80,1,2,4,1,6,99,0,0,0
2420,30,1,2018,407,1628,6,20,1161010.9500805165,488172,239969,1,3,3,3,4,4,2,2,2,2,1,6,1,1,6,1,1,1,1,3,6,6,6,1,1,1,6,6,1,6,6,6,6,6,6,1,6,1,1,2,0,0,1,3,0,1,1,0,2,2,0,4,0,43,1,6,1,7,1,2,1,0,6
2420,31,1,2018,466,3728,6,20,826131.3229282801,488172,239969,1,3,3,4,1,4,3,2,3,2,1,6,1,1,7,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,6,6,1,6,6,6,6,1,4,0,0,4,3,1,5,4,1,3,5,0,8,1,41,1,9,2,7,1,4,1,0,6
2420,32,1,2018,443,1329,6,20,763589.3252818041,488172,239969,1,2,2,4,1,4,2,2,2,2,1,6,1,1,7,1,1,1,1,7,6,6,6,6,1,1,1,6,1,6,6,6,6,6,6,6,6,1,0,4,0,0,1,2,0,1,1,0,2,1,0,3,1,61,1,5,1,7,1,4,1,0,6
2420,926,2,2018,407,814,6,20,1610561.6159400982,488172,239969,1,1,1,3,1,4,3,1,3,1,1,1,1,1,7,6,1,1,1,3,6,6,6,1,6,1,6,6,6,6,6,6,6,6,6,1,6,1,1,2,0,0,0,2,0,0,0,0,1,1,0,2,0,32,1,7,2,7,1,4,1,0,6
2509,10,1,2018,689,5512,6,20,738846.1660143536,488172,239969,1,5,4,4,4,4,2,2,2,2,1,6,1,1,7,1,1,1,1,1,6,6,6,1,6,1,6,6,1,6,6,6,6,6,6,1,6,1,1,4,0,3,1,4,0,4,4,0,5,3,1,8,0,52,1,3,1,7,1,4,1,0,6
2509,11,1,2018,516,1548,6,20,1480613.9378125733,488172,239969,1,3,2,4,4,4,2,1,2,1,1,6,1,1,6,1,1,1,1,1,6,6,6,1,1,1,6,1,1,1,6,6,6,6,6,1,6,1,1,4,0,0,0,2,1,1,0,1,1,2,0,3,0,65,1,4,1,7,1,4,1,0,6
2509,12,1,2018,425,425,6,20,1319962.3939987002,488172,239969,1,4,2,3,4,4,2,2,2,2,1,6,6,1,7,1,1,4,1,1,6,6,6,1,6,1,1,6,1,6,6,6,6,6,6,6,6,6,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,66,1,2,4,7,1,4,1,0,6
2509,13,1,2018,666,5328,6,20,200806.39677103792,488172,239969,1,3,3,4,1,4,2,2,2,2,1,6,1,1,7,6,1,1,1,1,6,6,6,1,6,1,6,6,1,6,6,6,6,6,6,6,6,1,0,4,0,2,3,2,1,6,5,1,5,3,1,8,1,78,1,0,4,7,6,4,1,0,6
2509,14,1,2018,425,425,6,20,1759184.2791911352,488172,239969,1,3,3,3,1,4,2,1,2,1,1,6,6,1,6,1,7,1,1,1,6,6,6,1,6,1,6,6,6,6,6,6,6,6,6,6,6,6,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,71,1,1,4,7,6,4,1,0,6
2509,15,1,2018,778,3890,6,20,464824.651011091,488172,239969,1,2,2,3,4,4,2,1,2,1,1,6,1,1,7,6,1,1,1,7,6,6,6,1,6,6,6,1,1,6,6,6,6,6,6,6,6,1,1,2,0,1,2,2,0,3,3,0,2,3,1,5,0,37,1,6,1,7,1,4,1,0,6
2509,18,1,2018,289,289,6,20,1573098.1735159876,488172,239969,1,1,1,3,1,4,8,7,9,8,6,6,6,1,7,1,1,1,1,7,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,87,1,0,5,7,6,4,1,0,6
2509,20,1,2018,584,4088,6,20,369624.58112012065,488172,239969,1,2,2,3,4,3,2,2,2,2,1,6,1,1,3,1,1,1,1,1,6,6,6,1,1,1,1,6,1,6,6,6,6,6,6,6,6,1,1,5,0,1,1,3,2,4,2,2,3,4,1,7,0,80,1,2,1,1,1,99,0,0,0
2509,21,1,2018,699,1398,6,20,2162622.3091976596,488172,239969,1,1,1,4,4,4,2,2,2,2,1,6,1,1,3,6,4,1,1,1,1,6,6,1,6,1,6,1,1,6,6,6,6,6,6,6,6,1,0,3,0,0,1,1,0,1,1,0,1,1,0,2,1,41,2,15,5,1,1,1,1,0,1
