upm,nvivi,nhoga,year,fex,facpob,area,dptorep,ipcm,linea_pobreza_total,linea_pobreza_extrema,vivi_piezas,vivi_dormitorios,vivi_pared,vivi_piso,vivi_techo,vivi_agua_proveedor,vivi_agua_fuente,vivi_agua_proveedor_beber,vivi_agua_fuente_beber,vivi_celular,vivi_banho_desague,vivi_pieza_cocinar,vivi_combustible,vivi_basura,vivi_vivienda_propiedad,vivi_lote_propiedad,vivi_computadora,vivi_tableta,vivi_internet,vivi_radio,vivi_televisor,vivi_heladera,vivi_cocina_gas,vivi_cocina_elec,vivi_lavarropas,vivi_videoDVD,vivi_termocalefon,vivi_acondicionador_aire,vivi_antena_parabolica,vivi_tv_cable,vivi_horno_microondas,vivi_horno_electrico,vivi_auto_camion,vivi_motocicleta,hh_conyuge_present,hh_tipo_hogar,hh_miembros_5ymenos,hh_miembros_6a14,hh_miembros_15a64,hh_miembros_65ymas,hh_dependents,hh_youth_dependents,hh_old_dependents,hh_females,hh_males,hh_tekopora,hh_totpers,jefe_female,jefe_edad,jefe_idioma,jefe_aniosestudio,jefe_estado_civil,jefe_seguro_medico,jefe_sabe_leer_escribir,jefe_tipo_empleo,jefe_quiere_trabajo,jefe_caja_jubilacion1,lnipcm,totpov,extpov
2420,1,1,2018,452,2712,rural,Resto,1574540.8389694055,488172,239969,4,2,Ladrillo,Lecherada,Teja,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Camara_septica,Yes,Leña,Quema,Propia,Propio,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Extendido,0,2,4,0,2,2,0,3,3,No,6,No,56,Bilingual,12,Casado,No,Yes,Cuenta_propia,No,No,14.269474256925426,nontot_pov,nonext_pov
2420,21,1,2018,393,1572,rural,Resto,1996943.8003220623,488172,239969,2,2,Ladrillo,Lecherada,Zinc,Pozo_bomba,Caneria_vivienda,Pozo_protegido,Caaeria_vivienda,Yes,Camara_septica,No,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Extendido,0,1,3,0,1,1,0,2,2,No,4,No,52,Guarani,9,Unido,Yes,Yes,Publico,No,Yes,14.50712846994991,nontot_pov,nonext_pov
2420,22,1,2018,325,1625,rural,Resto,4138574.048309181,488172,239969,5,4,Ladrillo,Baldosa,Teja,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Camara_septica,Yes,Leña,Quema,Propia,Propio,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Extendido,0,0,3,2,2,0,2,3,2,No,5,No,92,Bilingual,9,Casado,Yes,No,No_trabajo,No,No,15.235861853695345,nontot_pov,nonext_pov
2420,23,1,2018,370,1480,rural,Resto,846448.7439613532,488172,239969,1,1,Ladrillo,Lecherada,Zinc,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Extendido,1,1,1,1,3,2,1,3,1,Yes,4,No,76,Guarani,6,Viudo,Yes,Yes,Cuenta_propia,No,No,13.648804928174346,nontot_pov,nonext_pov
2420,24,1,2018,243,486,rural,Resto,1888401.73004052,488172,239969,4,2,Ladrillo,Lecherada,Teja,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Camara_septica,Yes,Leña,Hoyo,Cedida,No_propio,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Nuclear_Completo,0,0,0,2,2,0,2,1,1,No,2,No,71,Guarani,6,Casado,Yes,No,Patron,No,No,14.451241383794773,nontot_pov,nonext_pov
2420,25,1,2018,365,2190,rural,Resto,1221272.5528717132,488172,239969,4,3,Ladrillo,Lecherada,Teja,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Camara_septica,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Extendido,0,1,3,2,3,1,2,2,4,No,6,No,73,Guarani,3,Unido,Yes,Yes,Cuenta_propia,No,No,14.01540394920789,nontot_pov,nonext_pov
2420,26,1,2018,482,2892,rural,Resto,628392.146311439,488172,239969,3,3,Madera,Tierra,Zinc,Red_comunitaria,Caneria_terreno,Red_comunitaria,Caneria_terreno,Yes,Letrina_comun_sin_techo,Yes,Leña,Quema,Propia,Condo,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Extendido,1,1,4,0,2,2,0,2,4,Yes,6,No,62,Guarani,8,Viudo,No,Yes,Privado,No,No,13.350919687372453,nontot_pov,nonext_pov
2420,29,1,2018,427,2989,rural,Resto,756278.8129744658,488172,239969,3,3,Madera,Lecherada,Zinc,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Pozo_ciego,Yes,Leña,Quema,Propia,Condo,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Extendido,2,0,4,1,3,2,1,4,3,Yes,7,Yes,80,Guarani,2,Viudo,Yes,No,No_trabajo,No,No,13.536165387402356,nontot_pov,nonext_pov
2420,30,1,2018,407,1628,rural,Resto,1161010.9500805165,488172,239969,3,3,Madera,Lecherada,Zinc,SENASA,Caneria_vivienda,SENASA,Caaeria_vivienda,Yes,Letrina_comun,Yes,Leña,Quema,Propia,Condo,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Nuclear_Completo,0,1,3,0,1,1,0,2,2,No,4,No,43,Guarani,6,Casado,No,Yes,Privado,No,No,13.96480169222945,nontot_pov,nonext_pov
2420,31,1,2018,466,3728,rural,Resto,826131.3229282801,488172,239969,3,3,Ladrillo,Tierra,Zinc,Red_comunitaria,Caneria_vivienda,Red_comunitaria,Caaeria_vivienda,Yes,Letrina_comun_sin_techo,Yes,Leña,Quema,Propia,Propio,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Extendido,0,4,3,1,5,4,1,3,5,No,8,Yes,41,Guarani,9,Unido,No,Yes,Cuenta_propia,No,No,13.624509026462066,nontot_pov,nonext_pov
